Konjo	go 'jo	贡觉	Gongjue
Kormang	'khor mang	孔玛	Kongma
Korqag	'khor chags	科加	Kejia
Korqên	'khor chen	郭庆	Guoqing
Korra	'khor rwa	扩达	Kuoda
Küba	khul pa	古巴	Guba
Kunggar	gung dkar	工卡	Gongka
Kunglung	gung lung	孔隆	Konglong
Kungtang	gung thang	贡巴当	Gongbadang
Kurmê	gur me	孔玛	Kongma
Kurtang	gur thang	古通	Gutong
Kyag	'khyag	卡	Ka Xiang
Kyangmar	gyang dmar	觉马	Juema
Kyangngoin	gyang sngon	觉恩	Jueen
Kyimxi	khyim bzhi	克西	Kaxi
Kyongba	gyong pa	炯巴	Jiongba
Kyunglung	khyung lung	曲龙	Qulong
Kyungxog	khyung gshog	群学	Qunxue
Kyungzê	khyung rtse	琼孜	Qiongzi
Lababsa	la babs sa	萝布沙	Luobusha
Ladoi	la stod	来多	Laiduo
Lagê	gla ske	拉根	Lagen
La'gyab	la rgyab	拉郊	Lajiao
Lai	slas	勒乡	Le Xiang
Lainba	lan pa	莲巴	Lianba
Lainqu	rlan chu	良曲	Liangqu
Lalho	la lho	拉洛	Laluo
Lamo	la mo	拉木	Lamu
Lampug	lam phug	浪波	Langbuo
Langju	glang bcu	朗久	Langjiou
Langmai	glang smad	萝麦	Luomai
Langmar	glang dmar	拉玛	Lama
La'og	la 'og	拉物	Lawu
Latog	la thog	拉多	Laduo
Lêba	sle pa	列巴	Lieba
Lha Xi	lha shes	拉西	Laxi
Lhabupu	lha bu phu	拉布普	Labupu
Lhagcang	lhag tshang	拉藏	Lazang
Lha'gyai	lha rgyal	哈加	Hajia
Lhain	lhan	联	Lian Xiang
Lhakang	lha khang	拉岗	Lagang
Lhakang	lha khang	拉康	Lakang
Lhamdün	lha mdun	拉木堆	Lamudui
Lhari	lha ri	嘉黎	Jiali
Lhari	lha ri	嘉黎	Jiali
Lhasa	lha sa	拉萨	Lasa
Lhasoi	lha gsol	拉绥	Lasui
Lhato	lha tho	拉妥	Latuo
Lhatog	lha thog	拉多	Laduo
Lhayü	lha yul	拉玉	Layu
Lhazê	lha rtse	拉孜	Lazi
Lhazê	lha rtse	拉孜	Lazi
Lhazê	lha rtse	拉孜	Lazi
Lhoka	lho kha	山南	Shannan
Lhoma	lho ma	萝玛	Luoma
Lhoma	lho ma	洛玛	Luoma
Lhoma	lho ma	萝玛	Luoma
Lhoma	lho ma	萝玛	Luoma
Lhorong	lho rong	洛隆	Luolong
Lhozhag	lho brag	洛扎	Luozha
Lhünboxoi	lhun po zhol	工布学	Gongbuxue
Lhüngang	lhun sgang	林岗	Lingang
Lhünzê	lhun rtse	隆孜	Longzi
Lhünzhub	lhun grub	林周	Linzhou
Lingda	gling mda'	冷达	Lengda
Lingti	gling mthil	林堤	Linti
Liu	sle'u	柳	Liu Xiang
Longzhoigang	klong grol sgang	龙株岗	Longzhugang
Lugba	lugs pa	鲁巴	Luba
Luggu	lug gu	鲁古	Lugu
Lumai	klu smad	路美	Lumei
Lumai	lu smad	萝麦	Luomai
Lumaka	lu ma kha	龙门卡	Longmenka
Lunggar	lung dkar	隆嘎尔	Longgaer
Lungmar	lung dmar	龙马	Longma
Lungring	lung ring	龙仁	Longren
Lungrong	lung rong	龙中	Longzhong
Mag	mag	玛	Ma Xiang
Maiba	smad pa	买巴	Maiba
Maiba	smad pa	门巴	Menba
Maima	smad ma	买玛	Maima
Mainda	sman mda'	面达	Mianda
Maindong	sman sdong	门东	Mendong
Mainling	sman gling	米林	Milin
Mainling	sman gling	米林	Milin
Mainpu	sman phu	门布	Menbu
Maintang	sman thang	门当	Mendang
Maintangragzêg	man thang rags rtseg	门当	Mendang
Mairi	smad ri	米瑞	Mirui
Maiyü	smad yul	美玉	Meiyu
Maizhokunggar	mal gro gung dkar	墨竹工卡	Mozhugongka
Maja	rma bya	麻布加	Mabujia
Mamba	rmam pa	门巴	Menba
Mamta	mam tha	满塔	Manta
Mangpu	mang phu	芒普	Mangpu
Mangra	mang ra	芒热	Mangre
Maqian	rma chen	马前	Maqian
Mar	dmar	马	Ma Xiang
Margyang	mar rkyang	麻江	Majiang
Markam	smar khams	芒康	Mangkang
Marmang	mar mang	麻玛	Mama
Marri	dmar ri	马利	Mali
Marrong	dmar rong	玛荣	Marong
Marru	dmar ru	马儒	Maru
Marxog	mar shog	马秀	Maxiou
Maryo	mar yo	马跃	Mayue
Mau	rma'u	马武	Mawu
Mêdog	me tog	美多	Meiduo
Mêdog	me tog	墨脱	Motuo
Mêdog	me tog	墨脱	Motuo
Mêndêu	me mde'u	门地	Mendi
Mikyimdün	mi khyim bdun	马及墩	Majitun
Mindo	mig mdo	敏都	Mindu
Mogxoi	rmog shod	木许	Muxu
Moin	smon shang	姆	Mu Xiang
Moincêr	mon mtsher	门士	Menshi
Moincomo	smon mtsho mo	门错木	Mencuomu
Moinqai	mon 'chad	民间	Minkang
Moinzhub	smon grub	门主	Menzhu
Molha	mo lha	木拉	Mula
Mongda	rmo mda'	芒达	Mangda
Mübaqêqên	mus pa byes chen	美巴切勤	Meibaqieqin
Mug	smug	木	Mu Xiang
Mugba	rmug pa	木巴	Muba
Muta	dmu tha	木塔	Muta
Nagarzê	sna dkar rtse	浪卡子	Langkazi
Nagarzê	sna dkar rtse	浪卡子	Langkazi
Nagjog	nag lcog	腊久	Lajiou
Nagqu	nag chu	纳久	Najiu
Nagqu	nag chu	那曲	Naqu
Nagqu	nag chu	那曲	Naqu
Nagqu	nag chu	那曲	Naqu
Nailung	gnas lung	里龙	Lilong
Nailung	nas lung	乃龙	Nailong
Nai'nying	gnam rnying	南尼	Nanni
Naiqung	gnas chung	乃琼	Naiqong
Naixi	gnas bzhi	乃西	Naixi
Naiyü	gnas yul	南伊	Nanyi
Nakog	na khog	南果	Nanguo
Nam	gnam	南木	Nanmu
Namarqê	na dmar che	那么切	Namuoqie
Namco	gnam mtsho	那木措	Namucuo
Namco	gnam mtsho	纳木湖	Namuhu
Namgyaixoi	rnam rgyal zhol	朗杰学	Langjiexue
Namka	nam mkha'	朗巴	Langba
Namkar	sna mkhar	那嘎	Naga
Namling	rnam gling	南木林	Nanmulin
Namling	rnam gling	南木林	Nanmulin
Namoqê	na mo che	南木切	Nanmuqie
Namru	gnam ru	纳木如	Namuru
Namsai	nam gsal	朗塞	Langsai
Namsailing	rnam sras gling	朗赛岭	Langsailing
Nang	snang	朗	Lang Xian
Naqên	na chen	拉奏	Laqin
Naqên	sna chen	纳金	Najin
Nar	snar nga	纳尔	Naer
Naroi	na rol	纳如	Naru
Narrab	mngar rab	安绕	Anrao
Nartang	snar thang	纳当	Nadang
Nasêr	na ser	纳色	Nase
Naxi Minzu	'jang pa mi riT	纳西	Naxi
Nêdong	sne gdong	乃东	Naidong
Ngamring	ngam ring	昂仁	Angren
Ngari	mnga' ris	阿里	Ali
Ngarnang	ngar nang	阿朗	Alang
Ngarzhag	mngar brag	阿扎	Azha
Ngazha	lnga bkra	安扎	Anzha
Ngêxi	rnge gshis	埃西	Aixi
Ngoqu	sngo chu	俄久	Erjiu
Ngüxoi	rngul shod	俄西	E'xi
Niu	sne'u	柳梧	Liuwu
Norbukyungzê	nor bu khyung rtse	洛江	Luojiang
Norcang	nor tshang	诺仓	Ruocang
Nornai	nor gnas	洛尼	Luoni
Norpu	nor bu	萝波	Luobuo
Numa	nu ma	奴玛	Numa
Nyagbo	nyang po	娘浦	Niangpu
Nyaimai	gnyal smad	列麦	Liemai
Nyainrong	gnyan rong	聂荣	Nierong
Nyalam	gna' lam	聂拉木	Nielamu
Nyamo	nya mo shang	年木	Nianmu
Nyangdoi	myang stod	年堆	Niandui
Nyangra	nyang ra	娘热	Niangre
Nyangrain	nyang bran	娘热	Niangre
Nyarixung	nya ri gzhung shang	聂日雄	Nierixiong
Nyasog	nya sog	娘索	Liangsuo
Nyaxi	nya gshis	娘西	Niangxi
Nyêmo	snye mo	尼木	Nimu
Nyêmo	snye mo	尼木	Nimu
Nyênzin	nye 'dzin	尼增	Nizeng
Nyêrudoi	nye ru stod	涅如堆	Nierudui
Nyêrumai	nye ru smad	涅如麦	Nierumai
Nyêtang	mnyes thang	聂当	Niedang
Nyigo	nyi sgo	尼果	Niguo
Nyilung	nyi lung	尼龙	Nilong
Nyima	nyi ma	尼玛	Nima
Nyima	nyi ma	尼玛	Nima
Nyima	nyi ma	尼玛	Nima
Nyimajangra	nyi ma lcang rwa	尼玛江热	Nimajiangre
Nyingchi	nying khri	林芝	Linzhi
Nyingchi	nying khri	林芝	Linzhi
Nyinmo	nyin mo	尼木	Nimu
Nyixar	nyi shar	尼辖	Nixia
Nyixung	nyi gzhung	尼雄	Nixuong
Ogba	'og pa	俄巴	Erba
Ogtang	'og thang	吾同	Wutong
Oiga	'ol dga'	沃卡	Wuoka
Oma	'o ma	物玛	Wuma
Ombu	'om bu	文部	Wenbu
Ongbum	'o 'bum	旺布	Wangbu
Ongga	ong dga'	翁嘎	Wengga
Ormaika	or smad kha	若巴	Ruoba
Orong	o rong	卧龙	Wolong
Padain	ba dan	巴登	Badeng
Paggai	brag skas	八盖	Bagai
Paggor	brag skor	帕古	Baigu
Pagri	phag ri	帕里	Pali
Pai	phad	派	Pai
Paila	bal la	白拉	Baila
Painba	ben pa	边巴	Bianba
Paingar	ban dkar	白嘎	Baiga
