 "placeid" , "placename" ,
 "http://purl.bdrc.io/resource/G161" , "xiaqun si/xiachong si/shachong si" ,
 "http://purl.bdrc.io/resource/G1023" , "mdo ba mar nang" ,
 "http://purl.bdrc.io/resource/G76" , "chu bzang dgon/" ,
 "http://purl.bdrc.io/resource/G1PD76597" , "bar gzhi nang pa/" ,
 "http://purl.bdrc.io/resource/G1PD76597" , "mgo log smad bar gzhi nang pa/" ,
 "http://purl.bdrc.io/resource/G1239" , "sne'u gdong" ,
 "http://purl.bdrc.io/resource/G1239" , "yul gzhung gi sne'u gdong pa/" ,
 "http://purl.bdrc.io/resource/G229" , "bya yul dgon pa/" ,
 "http://purl.bdrc.io/resource/G229" , "Jayul Gonpa" ,
 "http://purl.bdrc.io/resource/G340" , "Drigung Til" ,
 "http://purl.bdrc.io/resource/G340" , 直贡梯寺 ,
 "http://purl.bdrc.io/resource/G340" , "'bri gung mthil dgon pa/" ,
 "http://purl.bdrc.io/resource/G340" , "zhigongti si" ,
 "http://purl.bdrc.io/resource/G340" , "mthil dgon pa/" ,
 "http://purl.bdrc.io/resource/G381" , "cung ri bo che/" ,
 "http://purl.bdrc.io/resource/G381" , "Chung Riwoche" ,
 "http://purl.bdrc.io/resource/G381" , 日吾其寺 ,
 "http://purl.bdrc.io/resource/G381" , "dpal ri bo che dgon e waM dga' 'khyil/" ,
 "http://purl.bdrc.io/resource/G381" , "riwuqi si" ,
 "http://purl.bdrc.io/resource/G381" , "gcung ri bo che dgon/" ,
 "http://purl.bdrc.io/resource/G381" , "dpal ri bo che dgon/" ,
 "http://purl.bdrc.io/resource/G381" , "e waM dga' 'khyil/" ,
 "http://purl.bdrc.io/resource/G301" , "shis tshang dgon gsar/" ,
 "http://purl.bdrc.io/resource/G301" , 西仓新寺 ,
 "http://purl.bdrc.io/resource/G301" , "dga' ldan bshad sgrub chos 'khor gling" ,
 "http://purl.bdrc.io/resource/G301" , "xicang xinsi" ,
 "http://purl.bdrc.io/resource/G301" , "shis tshang sgar gsar dga' ldan bshad sgrub chos 'khor gling" ,
 "http://purl.bdrc.io/resource/G301" , "gadan xiezhu qukelin" ,
 "http://purl.bdrc.io/resource/G301" , "shis tshang sgar gsar/" ,
 "http://purl.bdrc.io/resource/G301" , 嘎丹谢珠曲科林 ,
 "http://purl.bdrc.io/resource/G162" , 拉卜楞寺 ,
 "http://purl.bdrc.io/resource/G162" , "Labrang Tashikyil" ,
 "http://purl.bdrc.io/resource/G162" , "bla brang dgon pa/" ,
 "http://purl.bdrc.io/resource/G162" , "bla brang bkra shis 'khyil/" ,
 "http://purl.bdrc.io/resource/G162" , "dga' ldan bshad sgrub dar rgyas bkra shis g.yas su 'khyil ba'i gling" ,
 "http://purl.bdrc.io/resource/G162" , "bkra shis 'khyil/" ,
 "http://purl.bdrc.io/resource/G162" , "lapuleng si" ,
 "http://purl.bdrc.io/resource/G1KR2688" , "skye rgu'i don 'grub gling" ,
 "http://purl.bdrc.io/resource/G1KR2688" , 结古寺 ,
 "http://purl.bdrc.io/resource/G1KR2688" , "skye rgu dgon/" ,
 "http://purl.bdrc.io/resource/G1KR2688" , "Jyegu Dondrub Ling" ,
 "http://purl.bdrc.io/resource/G1KR2688" , "skye rgu don 'grub gling" ,
 "http://purl.bdrc.io/resource/G1KR2688" , "Kyegu Dondrubling" ,
 "http://purl.bdrc.io/resource/G1KR2688" , 结古义成洲 ,
 "http://purl.bdrc.io/resource/G1KR2688" , "jiegu si" ,
 "http://purl.bdrc.io/resource/G126" , "'bras spungs blo gsal gling grwa tshang" ,
 "http://purl.bdrc.io/resource/G126" , "Drepung Loseling Dratsang" ,
 "http://purl.bdrc.io/resource/G126" , "blo gsal gling grwa tshang" ,
 "http://purl.bdrc.io/resource/G402" , "mkhar rdo ri khrod/" ,
 "http://purl.bdrc.io/resource/G402" , 卡多寺 ,
 "http://purl.bdrc.io/resource/G402" , "Khardo" ,
 "http://purl.bdrc.io/resource/G402" , "kaduo si" ,
 "http://purl.bdrc.io/resource/G543" , "lha sa steng khang sbug" ,
 "http://purl.bdrc.io/resource/G4" , 梅日寺 ,
 "http://purl.bdrc.io/resource/G4" , "Menri Gon" ,
 "http://purl.bdrc.io/resource/G4" , "sman ri dgon/" ,
 "http://purl.bdrc.io/resource/G4" , "bkra shis sman ri/" ,
 "http://purl.bdrc.io/resource/G4" , "meiri si" ,
 "http://purl.bdrc.io/resource/G4" , "thob rgyal sman ri dgon/" ,
 "http://purl.bdrc.io/resource/G4" , 门日寺 ,
 "http://purl.bdrc.io/resource/G4" , "menri si" ,
 "http://purl.bdrc.io/resource/G1569" , "glang sna dgon/" ,
 "http://purl.bdrc.io/resource/G1569" , "Langna Gon" ,
 "http://purl.bdrc.io/resource/G1569" , 弄拉寺 ,
 "http://purl.bdrc.io/resource/G1569" , 郎乃寺 ,
 "http://purl.bdrc.io/resource/G1569" , "thub bstan bsam grub mthong grol gling" ,
 "http://purl.bdrc.io/resource/G1569" , "tre hor glang sna dgon/" ,
 "http://purl.bdrc.io/resource/G1569" , "langnai si" ,
 "http://purl.bdrc.io/resource/G1569" , "nongla si" ,
 "http://purl.bdrc.io/resource/G1569" , "dkar mdzes glang sna dgon/" ,
 "http://purl.bdrc.io/resource/G1569" , "glang nag dgon pa/" ,
 "http://purl.bdrc.io/resource/G108" , "'bras spungs dgon/" ,
 "http://purl.bdrc.io/resource/G108" , 哲蚌寺 ,
 "http://purl.bdrc.io/resource/G108" , "Drepung Monastery" ,
 "http://purl.bdrc.io/resource/G108" , "zhebang si" ,
 "http://purl.bdrc.io/resource/G222" , "po ta la/" ,
 "http://purl.bdrc.io/resource/G222" , "Potala" ,
 "http://purl.bdrc.io/resource/G222" , 布达拉宫 ,
 "http://purl.bdrc.io/resource/G222" , "pho brang po ta la/" ,
 "http://purl.bdrc.io/resource/G222" , "budala gong" ,
 "http://purl.bdrc.io/resource/G222" , "pho brang khri rtse dmar po/" ,
 "http://purl.bdrc.io/resource/G222" , "lha sa po ta la/" ,
 "http://purl.bdrc.io/resource/G155" , "se ra byes grwa tshang" ,
 "http://purl.bdrc.io/resource/G155" , "Seraje Dratsang" ,
 "http://purl.bdrc.io/resource/G155" , "ser byes grwa tshang" ,
 "http://purl.bdrc.io/resource/G155" , "byes grwa tshang" ,
 "http://purl.bdrc.io/resource/G337" , "dga' ldan dgon/" ,
 "http://purl.bdrc.io/resource/G337" , 甘丹寺 ,
 "http://purl.bdrc.io/resource/G337" , "Ganden Monastery" ,
 "http://purl.bdrc.io/resource/G337" , "ri bo dga' ldan dgon/" ,
 "http://purl.bdrc.io/resource/G337" , "gandan si" ,
 "http://purl.bdrc.io/resource/G337" , "'brog ri bo dge ldan rnam par rgyal ba'i gling" ,
 "http://purl.bdrc.io/resource/G1230" , "klu 'bum/" ,
 "http://purl.bdrc.io/resource/G1230" , "sku 'bum mchod gzhis klu 'bum tsho ba/" ,
 "http://purl.bdrc.io/resource/G1230" , "klu 'bum tsho ba/" ,
 "http://purl.bdrc.io/resource/G1230" , "a mdo klu 'bum/" ,
 "http://purl.bdrc.io/resource/G33" , "mtshur phu dgon/" ,
 "http://purl.bdrc.io/resource/G33" , "Tsurphu monastery" ,
 "http://purl.bdrc.io/resource/G33" , 楚布寺 ,
 "http://purl.bdrc.io/resource/G33" , 祖普寺 ,
 "http://purl.bdrc.io/resource/G33" , "zupu si" ,
 "http://purl.bdrc.io/resource/G33" , "chubu si" ,
 "http://purl.bdrc.io/resource/G33" , "'og min mtshur phu dgon/" ,
 "http://purl.bdrc.io/resource/G33" , "mtshur mdo bo lung gi gtsug lag khang" ,
 "http://purl.bdrc.io/resource/G33" , "stod lung mtshur phu dgon/" ,
 "http://purl.bdrc.io/resource/G563" , "thob rgyal/" ,
 "http://purl.bdrc.io/resource/G1260" , "mdo ba yar nang" ,
 "http://purl.bdrc.io/resource/G197" , "dwags lha sgam po/" ,
 "http://purl.bdrc.io/resource/G197" , "Dakla Gampo" ,
 "http://purl.bdrc.io/resource/G197" , 达拉岗布寺 ,
 "http://purl.bdrc.io/resource/G197" , 岗布寺 ,
 "http://purl.bdrc.io/resource/G197" , "ri bo shAn ti/" ,
 "http://purl.bdrc.io/resource/G197" , "dala gangbu si" ,
 "http://purl.bdrc.io/resource/G197" , "gangbu si" ,
 "http://purl.bdrc.io/resource/G966" , "dbus sha tshar/" ,
 "http://purl.bdrc.io/resource/G8LS12302" , "rong po rgyud pa grwa tshang" ,
